field	source_line	owner	type	referencing_files
tmux_observer	1125	app_infrastructure	Option<crate::tmux_observer::TmuxObserver>	src/main.rs, src/app/mod.rs
ipc_chatty_log_count	1126	app_infrastructure	u64	src/app/notifications.rs, src/app/mod.rs
ipc_chatty_log_window_start	1127	app_infrastructure	Instant	src/app/notifications.rs, src/app/mod.rs
last_file_notification_count	1128	attention_notifications	usize	src/app/notifications.rs, src/app/mod.rs
last_file_notification_fingerprint	1129	attention_notifications	Option<u64>	src/app/notifications.rs, src/app/mod.rs
vscode_available	1130	editor_lifecycle	bool	src/main.rs, src/app/session_ops.rs, src/app/mod.rs
pending_editor_launches	1136	editor_lifecycle	Vec<editor_ops::PendingEditorLaunch>	src/app/session_ops.rs, src/app/tests.rs, src/app/editor_ops.rs, src/app/mod.rs
view_snapshot_tx	1137	pane_input	SnapshotSender	src/app/tests.rs, src/app/mod.rs
view_snapshot_wakeup_rx	1138	pane_input	Option<OwnedFd>	src/app/mod.rs
view_snapshot_stop	1139	pane_input	Option<Arc<AtomicBool>>	src/app/mod.rs
view_snapshot_refresh	1140	pane_input	Option<Arc<AtomicU8>>	src/app/mod.rs
view_snapshot_include_content	1141	pane_input	Option<Arc<AtomicBool>>	src/app/mod.rs
view_snapshot_condvar	1142	pane_input	Option<Arc<(StdMutex<()>, StdCondvar)>>	src/app/mod.rs
view_snapshot_target	1143	pane_input	Option<(String, String, u16, u16)>	src/app/mod.rs
view_display_frozen_until	1150	pane_input	Option<Instant>	src/app/tests.rs, src/app/mod.rs
harness_check_tx	1151	app_infrastructure	Sender<HarnessCheckResult>	src/handlers/harness.rs, src/app/mod.rs
harness_check_rx	1152	app_infrastructure	Receiver<HarnessCheckResult>,	src/app/mod.rs
